"Tag Number",QTY,"Selling Price"
TN_160102,1,5508.47
TN_160103,1,5508.47
TN_160104,1,5508.47
TN_160105,1,5508.47
TN_160106,1,5508.47
TN_160107,1,5508.47
TN_160108,1,5508.47
TN_160109,1,5508.47
TN_160110,1,5508.47
TN_160111,1,5508.47
TN_160112,1,5508.47
TN_160113,1,5508.47
TN_160114,1,5508.47
TN_160115,1,5508.47
TN_160116,1,5508.47
TN_160117,1,5508.47
TN_160118,1,5508.47
TN_160119,1,5508.47
TN_160120,1,5508.47
TN_160121,1,5508.47
TN_160122,1,5508.47
TN_160123,1,5508.47
TN_160124,1,5508.47
TN_160125,1,5508.47
TN_160126,1,5508.47
TN_160127,1,5508.47
TN_160128,1,5508.47
TN_160129,1,5508.47
TN_160130,1,5508.47
TN_160131,1,5508.47
TN_160132,1,5508.47
TN_160133,1,5508.47
TN_160134,1,5508.47
TN_160135,1,5508.47
TN_160136,1,5508.47
TN_160137,1,5508.47
TN_160138,1,5508.47
TN_160139,1,5508.47
TN_160140,1,5508.47
TN_160141,1,5508.47
TN_160142,1,5508.47
TN_160143,1,5508.47
TN_160144,1,5508.47
TN_160145,1,5508.47
TN_160146,1,5508.47
TN_160147,1,5508.47
TN_160148,1,5508.47
TN_160149,1,5508.47
TN_160150,1,5508.47
TN_160151,1,5508.47
TN_160152,1,5508.47
TN_160153,1,5508.47
TN_160154,1,5508.47
TN_160155,1,5508.47
TN_160156,1,5508.47
TN_160157,1,5508.47
TN_160158,1,5508.47
TN_160159,1,5508.47
TN_160160,1,5508.47
TN_160161,1,5508.47
TN_160162,1,5508.47
TN_160163,1,5508.47
TN_160164,1,5508.47
TN_160165,1,5508.47
TN_160166,1,5508.47
TN_160167,1,5508.47
TN_160168,1,5508.47
TN_160169,1,5508.47
TN_160170,1,5508.47
TN_160171,1,5508.47
TN_160172,1,5508.47
TN_160173,1,5508.47
TN_160174,1,5508.47
TN_160175,1,5508.47
TN_160176,1,5508.47
TN_160177,1,5508.47
TN_160178,1,5508.47
TN_160179,1,5508.47
TN_160180,1,5508.47
TN_160181,1,5508.47
TN_160182,1,5508.47
TN_160183,1,5508.47
TN_160184,1,5508.47
TN_160185,1,5508.47
TN_160186,1,5508.47
TN_160187,1,5508.47
TN_160188,1,5508.47
TN_160189,1,5508.47
TN_160190,1,5508.47
TN_160191,1,5508.47
TN_160192,1,5508.47
TN_160193,1,5508.47
TN_160194,1,5508.47
TN_160195,1,5508.47
TN_160196,1,5508.47
TN_160197,1,5508.47
TN_160198,1,5508.47
TN_160199,1,5508.47
TN_160200,1,5508.47
TN_160201,1,5508.47
TN_160202,1,5508.47
TN_160203,1,5508.47
TN_160204,1,5508.47
TN_160205,1,5508.47
TN_160206,1,5508.47
TN_160207,1,5508.47
TN_160208,1,5508.47
TN_160209,1,5508.47
TN_160210,1,5508.47
TN_160211,1,5508.47
TN_160212,1,5508.47
TN_160213,1,5508.47
TN_160214,1,5508.47
TN_160215,1,5508.47
TN_160216,1,5508.47
TN_160217,1,5508.47
TN_160218,1,5508.47
TN_160219,1,5508.47
TN_160220,1,5508.47
TN_160221,1,5508.47
TN_160222,1,5508.47
TN_160223,1,5508.47
TN_160224,1,5508.47
TN_160225,1,5508.47
TN_160226,1,5508.47
TN_160227,1,5508.47
TN_160228,1,5508.47
TN_160229,1,5508.47
TN_160230,1,5508.47
TN_160231,1,5508.47
TN_160232,1,5508.47
TN_160233,1,5508.47
TN_160234,1,5508.47
TN_160235,1,5508.47
TN_160236,1,5508.47
TN_160237,1,5508.47
TN_160238,1,5508.47
TN_160239,1,5508.47
TN_160240,1,5508.47
TN_160241,1,5508.47
TN_160242,1,5508.47
TN_160243,1,5508.47
TN_160244,1,5508.47
TN_160245,1,5508.47
TN_160246,1,5508.47
TN_160247,1,5508.47
TN_160248,1,5508.47
TN_160249,1,5508.47
TN_160250,1,5508.47
TN_160251,1,5508.47
TN_160252,1,5508.47
TN_160253,1,5508.47
TN_160254,1,5508.47
TN_160255,1,5508.47
TN_160256,1,5508.47
TN_160257,1,5508.47
TN_160258,1,5508.47
TN_160259,1,5508.47
TN_160260,1,5508.47
TN_160261,1,5508.47
TN_160262,1,5508.47
TN_160263,1,5508.47
TN_160264,1,5508.47
